Country_Region,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2
Moldova,"23,518.12","28,351.57","35,832.90","31,830.28","25,632.58","31,383.37","40,774.62","35,691.07","29,177.61","34,115.62","42,949.06","39,511.35","32,330.65","37,571.47","47,568.56","43,343.89","35,132.54","40,701.45","54,233.51","48,813.39","37,908.30","44,693.63","58,217.29","51,689.33","41,214.96","49,758.51","64,410.44","54,967.17","43,685.33",...
Mongolia,"3,508,102.40","5,077,543.40","5,281,732.40","5,306,864.30","4,222,086.50","5,970,325.30","6,366,832.30","5,667,810.20","4,643,453.60","6,041,806.60","6,463,642.60","6,001,482.80","4,738,100.20","6,221,958.20","6,290,160.80","6,692,647.20","5,831,456.60","7,240,074.50","7,317,453.00","7,506,540.10","6,758,521.90","8,408,131.40","8,293,359.50",...,...,...,...,...,...,...
Montenegro,637.77,788.14,"1,101.90",834.67,663.64,800.42,"1,125.02",868.85,686.3,859.34,"1,189.22",919.65,729.5,920.47,"1,291.33","1,012.92",783.81,"1,008.27","1,416.29","1,090.72",848.71,"1,108.23","1,531.06","1,175.14",886.03,"1,151.55","1,630.57","1,239.75",913.12,...
Morocco,"216,036.00","218,589.76","216,511.73","221,653.74","220,144.92","230,247.00","222,894.00","237,074.00","245,666.00","242,731.00","243,917.00","254,017.00","247,929.00","251,806.00","250,809.00","261,830.00","258,043.00","261,789.00","262,969.00","272,593.00",...,...,...,...,...,...,...,...,...,...
Netherlands,"161,409.00","168,105.00","161,493.00","169,456.00","164,432.00","169,898.00","163,863.00","173,367.00","166,535.00","175,441.00","170,501.00","177,531.00","171,335.00","179,918.00","174,235.00","182,849.00","178,225.00","187,838.00","181,702.00","190,381.00","188,086.00","196,773.00","190,226.00","198,902.00","196,565.00","206,487.00","199,281.00","207,914.00","200,967.00",...
New Zealand,"55,526.00","55,040.00","54,922.00","62,551.00","60,206.00","59,119.00","57,497.00","63,708.00","61,874.00","61,908.00","60,426.00","66,605.00","65,545.00","65,126.00","63,832.00","71,427.00","70,004.00","69,349.00","68,796.00","77,013.00","73,946.00","73,142.00","71,458.00","79,027.00","76,698.00","76,104.00","74,932.00","83,300.00",...,...
Nigeria,"18,522,185.10","20,149,674.20","20,703,824.60","21,634,280.80","20,381,903.54","21,957,446.05","23,232,819.39","24,564,815.67","21,242,543.07","23,080,911.17","24,627,752.28","26,226,529.16","22,435,464.29","23,737,297.49","26,871,010.76","29,531,645.49","26,228,851.52",...,...,...,...,...,...,...,...,...,...,...,...,...
North Macedonia,"109,082.25","127,692.71","131,072.03","134,044.01","120,689.72","134,262.15","134,107.44","138,571.69","128,439.38","138,813.89","143,586.62","148,113.73","135,707.09","146,029.49","154,078.80","158,979.42","143,436.12","150,671.58","159,616.72","164,381.27","151,570.00","161,388.51","167,567.55","177,527.23","163,049.61","169,422.03","177,644.70","187,428.74","165,682.60",...
Norway,"747,978.00","759,086.00","752,190.00","811,971.00","795,082.00","770,454.00","763,226.00","812,052.00","778,574.00","779,479.00","762,868.00","790,248.00","748,856.00","779,497.00","747,394.00","822,401.00","832,955.00","802,847.00","792,070.00","867,510.00","862,893.00","875,293.00","862,446.00","930,228.00","902,367.00","868,386.00","848,582.00","930,025.00","901,222.00",...
Paraguay,"42,269,507.14","40,792,316.99","39,779,858.36","43,872,904.38","45,041,113.69","43,843,655.47","43,007,943.09","47,828,896.95","46,213,986.94","45,731,218.48","45,894,730.01","50,390,787.89","49,164,479.59","49,477,963.46","51,398,177.64","54,406,657.59","54,670,990.40","52,521,629.20","53,667,473.64","58,328,323.63","58,221,782.91","57,417,843.21","54,934,337.57","60,915,313.89","59,284,095.12","56,740,949.63","57,813,751.26","64,215,351.69",...,...
