Country_Region,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2
Bosnia and Herzegovina,"6,116.76","6,632.27","7,272.48","6,757.25","6,305.43","6,606.85","7,294.99","7,151.44","6,420.21","7,053.91","7,732.43","7,382.51","6,746.97","7,290.44","8,109.74","7,757.31","7,067.66","7,634.72","8,523.31","8,150.54","7,590.29","8,255.59","8,937.33","8,660.85","7,987.56","8,694.18","9,390.98","8,958.80","8,247.22",...
Botswana,"28,429.30","32,466.00","31,665.60","32,597.50","34,491.50","37,703.60","36,156.20","37,517.10","36,649.70","37,398.90","24,394.49","25,087.84","23,571.77","23,702.57","21,692.70","23,936.80","20,331.29","22,479.74","21,902.30","21,902.30",...,...,...,...,...,...,...,...,...,...
Brazil,"1,241,621.76","1,322,587.42","1,354,133.22","1,413,276.59","1,385,945.43","1,422,288.32","1,462,126.27","1,508,592.98","1,456,836.78","1,480,130.86","1,508,219.71","1,550,599.65","1,499,483.08","1,558,285.59","1,577,224.26","1,634,335.07","1,589,214.39","1,633,651.30","1,647,680.12","1,712,773.19","1,657,833.65","1,704,702.31","1,736,935.00","1,789,705.13","1,725,680.60","1,795,805.84","1,842,110.27",...,...,...
Brunei,"6,067.50","5,626.40","5,347.10","5,597.70","5,737.20","5,479.20","5,209.60","5,245.60","4,655.60","4,526.30","4,321.90","4,274.20","3,940.70","4,029.40","3,763.60","4,014.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...
Bulgaria,"17,247.01","19,914.98","21,976.00","22,781.40","16,871.28","20,141.27","23,280.96","23,563.67","18,238.71","22,112.20","24,065.51","24,916.39","19,622.27","22,927.43","25,820.45","26,721.83","20,921.76","24,895.38","27,893.66","28,597.15","22,256.96","26,649.16","30,429.77","30,358.92","24,860.12","29,473.94","31,652.46","32,682.27","25,574.66",...
Cabo Verde,"36,712.01","39,291.03","38,368.61","39,351.52","38,213.89","38,932.03","37,291.44","39,998.39","38,969.38","39,248.31","37,302.83","41,004.55","40,432.22","40,103.83","37,960.79","42,745.26",...,...,...,...,...,...,...,...,...,...,...,...,...,...
Canada,"443,125.00","460,401.00","500,963.00","497,758.00","467,345.00","488,985.00","524,490.00","514,078.00","472,379.00","487,051.00","521,592.00","509,419.00","475,252.00","490,410.00","530,194.00","529,679.00","499,356.00","524,610.00","559,684.00","557,457.00","521,971.00","545,995.00","585,742.00","570,148.00","536,870.00","568,190.00","601,987.00","596,831.00","544,563.00",...
Chile,"33,213,415.65","33,990,993.14","33,433,372.17","37,238,434.81","36,077,487.99","36,627,476.84","35,772,848.19","40,121,640.86","39,179,707.77","39,535,450.04","38,263,478.33","42,574,712.17","41,953,610.81","41,447,910.35","40,805,268.50","45,330,598.07","43,602,201.25","44,040,884.58","43,782,195.77","48,330,844.19","47,222,448.99","47,526,133.84","45,751,315.72","50,766,053.53","49,022,753.16","49,487,887.09","48,370,573.62","51,559,492.97","51,295,492.82",...
"Hong Kong, China","509,631.00","492,375.00","551,059.00","585,240.00","535,907.00","526,194.00","580,793.00","617,111.00","572,160.00","565,750.00","614,251.00","646,119.00","590,556.00","585,135.00","636,333.00","678,414.00","631,418.00","628,277.00","679,352.00","720,337.00","684,538.00","673,764.00","723,240.00","753,619.00","707,866.00","694,280.00","719,326.00","744,207.00","662,938.00",...
"Macau, China","94,508.00","97,063.00","101,895.00","118,399.00","115,196.00","112,519.00","106,976.00","107,379.00","94,215.00","88,973.00","86,994.00","92,032.00","85,515.00","84,180.00","91,455.00","101,418.00","96,004.00","96,673.00","101,438.00","113,214.00","108,939.00","107,048.00","108,143.00","120,536.00","108,184.00","107,123.00","105,766.00",...,...,...
China,"12,944,960.00","14,351,870.00","15,222,270.00","16,777,230.00","14,027,020.00","15,592,230.00","16,489,780.00","18,019,030.00","15,059,380.00","16,787,450.00","17,580,380.00","19,172,080.00","16,096,730.00","17,987,870.00","18,933,760.00","20,987,720.00","17,940,340.00","19,917,780.00","20,982,410.00","23,234,900.00","19,792,000.00","21,929,540.00","22,949,550.00","25,359,860.00","21,343,280.00","23,750,030.00","24,686,510.00",...,...,...
Colombia,"164,513,822.35","173,091,911.49","181,901,707.87","194,585,558.28","180,397,235.02","183,074,416.99","193,011,138.51","206,420,209.49","188,243,533.95","190,710,073.00","206,458,163.41","219,280,229.65","202,054,740.78","206,731,226.87","218,404,579.50","236,591,452.85","216,211,425.08","219,539,715.73","233,732,502.80","250,987,356.39","230,427,917.54","235,986,819.55","251,201,588.58","268,314,674.32","245,390,043.40","254,860,475.21","270,789,880.52","290,689,132.42","256,507,783.66",...
Costa Rica,"6,190,212.05","6,056,542.78","6,066,823.53","6,547,365.14","6,715,608.77","6,622,586.30","6,660,007.48","7,228,680.89","7,327,763.36","7,136,214.22","7,156,114.06","7,661,281.67","7,775,046.30","7,594,080.41","7,564,260.88","8,202,822.91","8,302,394.48","8,065,365.94","8,035,843.22","8,611,215.13","8,751,790.36","8,497,196.98","8,406,070.11","9,038,360.21","9,201,875.83","8,753,977.64","8,749,920.79",...,...,...
Croatia,"75,282.52","84,212.68","90,383.60","81,330.26","73,959.03","83,765.65","91,250.30","82,367.79","75,430.20","85,627.95","94,069.01","84,568.90","77,019.91","87,959.49","98,645.46","87,543.81","79,587.17","92,337.95","103,307.02","91,194.00","83,350.69","96,778.70","108,245.69","94,590.11","88,104.09","100,460.05","112,904.97","98,633.10","90,223.85",...
Cyprus,"4,309.50","4,644.90","4,590.80","4,449.80","4,175.80","4,405.40","4,488.40","4,338.90","4,193.80","4,491.20","4,573.60","4,568.30","4,382.50","4,717.20","4,872.30","4,900.80","4,679.20","5,040.90","5,185.00","5,134.60","4,975.50","5,447.10","5,415.90","5,299.40","5,169.90","5,602.30","5,691.30","5,480.10","5,247.70",...
Czechia,"955,889.00","1,034,830.00","1,052,330.00","1,099,762.00","997,951.00","1,088,654.00","1,116,501.00","1,142,660.00","1,066,579.00","1,163,326.00","1,184,154.00","1,211,319.00","1,114,961.00","1,215,075.00","1,216,961.00","1,249,876.00","1,168,642.00","1,285,296.00","1,305,042.00","1,351,763.00","1,247,727.00","1,357,697.00","1,373,688.00","1,429,654.00","1,327,947.00","1,440,896.00","1,470,239.00","1,509,586.00","1,352,409.00",...
Denmark,"464,259.20","487,524.70","482,170.40","495,722.70","479,593.60","495,208.50","493,651.70","512,711.10","495,858.10","513,524.80","505,857.90","521,115.40","504,761.20","534,094.70","521,505.90","547,446.50","527,687.10","552,407.50","535,764.20","559,247.20","535,333.40","567,780.70","559,092.50","583,747.40","555,825.30","584,431.80","575,855.20","598,395.60","565,527.10",...
Dominican Republic,"623,151.16","643,436.91","647,218.94","705,962.68","689,474.43","712,913.08","707,012.81","768,127.49","744,416.59","765,465.72","759,591.19","830,177.70","801,373.49","832,951.96","818,031.01","881,062.81","861,277.68","897,091.20","884,417.31","970,360.95",...,...,...,...,...,...,...,...,...,...
Ecuador,"23,019.79","23,441.32","24,238.58","24,429.97","24,831.49","25,543.28","25,942.91","25,408.65","25,052.74","25,086.20","24,779.74","24,371.71","24,913.57","24,926.19","24,910.74","25,187.20","26,000.26","25,993.55","25,960.91","26,341.14","26,510.61","26,761.83","27,078.40","27,211.17","26,757.82","26,937.63","26,922.52","26,817.70","25,878.60",...
Egypt,"423,600.00","446,200.00","518,000.00","499,300.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
El Salvador,"5,205.76","5,549.60","5,431.32","5,804.29","5,431.12","5,703.06","5,592.72","5,866.58","5,613.83","5,867.32","5,831.96","6,125.13","5,690.32","6,177.99","5,966.10","6,357.03","5,938.98","6,274.42","6,152.20","6,613.60","6,203.12","6,571.08","6,467.90","6,875.30","6,454.95","6,766.98","6,711.04","7,089.67",...,...
Estonia,"4,451.08","4,831.76","4,868.94","4,881.61","4,660.47","5,107.68","5,098.24","5,313.60","4,767.02","5,280.91","5,295.39","5,438.90","5,020.34","5,431.72","5,457.21","5,784.36","5,436.94","6,044.84","5,952.44","6,341.60","5,929.71","6,586.11","6,537.61","6,982.43","6,475.50","7,123.91","7,045.24","7,393.12","6,494.83",...
Euro Area,"2,398,964.72","2,482,486.27","2,483,485.03","2,568,858.37","2,463,916.69","2,529,353.88","2,539,363.17","2,635,617.80","2,537,744.83","2,619,462.70","2,631,486.20","2,735,631.87","2,611,241.53","2,706,676.75","2,694,116.33","2,804,168.55","2,704,420.91","2,787,340.79","2,795,442.95","2,918,908.07","2,803,242.69","2,885,595.88","2,876,534.41","3,006,253.01","2,888,555.52","2,969,778.73","2,972,506.90","3,089,332.85","2,856,934.67",...
Finland,"48,547.00","51,645.00","50,814.00","53,315.00","49,332.00","52,112.00","51,457.00","53,996.00","50,016.00","53,439.00","52,436.00","55,494.00","51,527.00","54,877.00","54,129.00","56,985.00","53,733.00","56,865.00","55,918.00","59,417.00","55,775.00","58,900.00","57,845.00","61,142.00","57,197.00","60,931.00","59,887.00","62,542.00","57,742.00",...
France,"521,533.00","531,021.00","520,498.00","544,137.00","531,277.00","536,564.00","528,547.00","553,377.00","543,067.00","549,141.00","540,391.00","565,833.00","554,048.00","561,651.00","545,549.00","572,881.00","565,893.00","573,586.00","563,639.00","594,125.00","582,592.00","587,967.00","579,344.00","610,783.00","597,744.00","606,644.00","597,918.00","623,402.00","577,697.00","509,045.00"
Georgia,"5,914.46","6,900.92","7,510.71","8,266.95","6,561.22","7,545.65","8,206.35","8,810.88","7,048.02","8,430.94","8,998.90","9,457.15","7,581.86","8,787.32","9,464.09","10,002.75","8,662.42","9,868.13","10,940.55","11,290.57","9,551.45","10,935.75","11,850.94","12,261.20","10,199.90","12,024.93","13,446.52","14,330.82","11,063.76",...
Germany,"682,360.00","692,930.00","714,670.00","721,390.00","716,700.00","717,360.00","740,720.00","752,650.00","737,210.00","741,980.00","765,670.00","781,320.00","762,950.00","779,080.00","788,980.00","803,730.00","796,940.00","799,040.00","821,890.00","841,990.00","821,150.00","831,070.00","839,800.00","864,390.00","845,820.00","846,940.00","870,150.00","886,140.00","850,760.00","768,020.00"
Greece,"42,277.42","45,866.21","47,731.89","44,778.75","40,831.99","44,595.25","48,115.28","45,113.96","40,716.30","44,697.35","46,710.01","45,134.69","40,225.58","44,678.67","47,031.97","44,551.74","40,813.03","45,424.47","48,497.47","45,482.63","41,925.58","46,287.19","50,073.84","46,427.00","42,592.04","47,787.04","50,924.64","46,152.77","41,483.10",...
Guatemala,"99,738.42","102,229.08","105,716.35","115,413.90","106,442.21","109,515.49","113,872.74","124,222.31","116,362.03","117,106.43","121,994.44","132,665.31","123,855.78","125,323.02","129,839.71","142,818.36","132,651.90","132,110.57","137,550.49","153,335.87","139,141.24","140,586.75","146,712.56",...,...,...,...,...,...,...
Hungary,"6,703,328.00","7,514,779.00","7,804,759.00","8,267,461.00","7,254,091.00","8,096,052.00","8,468,908.00","8,875,157.00","7,659,648.00","8,516,859.00","8,904,790.00","9,703,907.00","7,901,185.00","8,968,316.00","9,195,755.00","9,831,073.00","8,481,115.00","9,597,942.00","9,947,983.00","10,808,181.00","9,260,969.00","10,489,384.00","11,003,282.00","11,908,170.00","10,202,546.00","11,579,676.00","12,043,125.00","12,961,367.00","10,810,577.00",...
Iceland,"471,633.53","476,310.56","511,431.28","499,585.72","468,562.44","500,618.74","558,096.95","546,282.36","536,673.06","572,052.91","600,241.75","584,980.11","560,669.26","611,382.71","669,817.48","649,066.93","593,771.76","640,677.53","700,846.89","681,010.12","643,415.87","687,168.26","734,280.50","722,521.38","664,815.67","741,067.57","773,823.52","785,910.25","678,131.05",...
India,"25,620,226.30","27,695,570.30","28,893,893.74","30,517,958.44","29,104,480.00","30,565,790.00","31,753,319.06","32,996,279.75","32,416,910.00","33,540,934.12","34,749,284.56","36,933,237.81","36,341,678.79","37,500,412.23","38,651,615.06","41,130,154.06","40,229,876.38","41,760,311.55","43,105,297.65","45,854,562.59","45,306,846.42","46,787,273.42","47,843,279.53","50,164,242.57",...,...,...,...,...,...
Indonesia,"2,235,288,500.00","2,342,589,500.00","2,491,158,500.00","2,477,097,500.00","2,506,300,200.00","2,618,947,300.00","2,746,762,400.00","2,697,695,400.00","2,728,180,700.00","2,867,948,400.00","2,990,645,000.00","2,939,558,700.00","2,929,269,000.00","3,073,536,700.00","3,205,019,000.00","3,193,903,800.00","3,228,172,200.00","3,366,787,300.00","3,504,138,500.00","3,490,727,700.00","3,511,408,700.00","3,685,610,800.00","3,842,159,900.00","3,799,132,100.00","3,783,859,300.00","3,963,861,700.00","4,067,378,000.00","4,018,844,400.00","3,922,613,800.00",...
Iran,"2,244,347,923.11","2,704,578,508.39","2,507,928,571.20","2,477,112,814.61","2,765,334,641.04","3,238,910,945.08","2,874,873,587.59","2,638,368,450.35","2,772,917,948.93","3,174,276,132.71","2,732,298,290.71","2,734,674,619.54","2,919,933,905.63","3,570,394,902.07","3,234,905,797.10","3,426,024,459.91",...,...,...,...,...,...,...,...,...,...,...,...,...,...
